Institutions;Sector;ESA10 category;Classification applies from;Date classified on the PSCG;Notes;;;;;;;;
124 Facilities Ltd - (s C4);GOTEBORG;SE;Former Public Corporation;S.11001;1-Dec-02;May-12;;;;;;;
2010 Rotherham Ltd;STOCKHOLM;SE;Former Public Corporation;S.11001;1-Jul-11;Jul-13;;;;;;;
4 Ventures Ltd;Public Non-Financial Corporation;S.11001;1-Nov-00;May-12;;;;;;;;;
A1 Housing Bassetlaw Ltd;Public Non-Financial Corporation;S.11001;22-Jul-08;;;;;;;;;;
Aberdeen City Council;Local Government;S.1313;;;;;;;;;;;
Aberdeen Harbour Board;Former Public Non-Financial Corporation;S.11001;2-Dec-15;Oct-16;In accordance with internationally agreed rules in the Europeans System of Accounts 2010 (ESA2010) and accompanying Manual on Government Deficit and Debt 2016 (MGDD 2016); ONS has reviewed the classification of Scottish Trust Ports. Based on provisions contained within the Ports Act 1991; these were previously classified as public non-financial corporations (S.11001). The Scottish Government introduced new legislation in 2015 (the Harbours (Scotland) Act) to repeal sections of the Ports Act 1991 with a view to removing public sector control of Scottish Trust Ports. Following consideration of this legislation; ONS concluded that the Scottish Trust Ports are no longer subject to public sector controls. Scottish Trust Ports are now classified as private non-financial corporations; with this decision effective from 2 December 2015.;;;;
Aberdeen Western Peripheral Route (AWPR) Special purpose Vehicles (SPVs);Central Government;S.1311;11-Dec-14;Jul-15;;;;;;;;;
Aberdeenshire Council;Local Government;S.1313;;;;;;;;;;;
Abertawe Bro Morgannwg University Health Board;Central Government;S.1311;1-Jun-09;Mar-11;;;;;;;;;
ABF The Soldiers Charity;Former Central Government;S.1311;1-Mar-13;Mar-13;;;;;;;;;
ABN Amro Bank NV;Public Financial Corporation;S.12201;;;;;;;;;;;
Academies (En Bloc);GOTEBORG;SE;Central Government;S.1311;1-Jul-02;Jul-10;;;;;;;
Academy Trusts (En Bloc);ULRICEHAMN;SE;Central Government;S.1311;;;;;;;;;
Accountant General of the Senior Courts;ULRICEHAMN;SE;CG Funds; Accounts; Courts and Posts;S.1311;;;Prior to the creation of the Supreme Court in 2009; this post was called the Accountant General of the Supreme Court.;;;
Accounts Commission for Scotland;;GÖTEBORG;SE;Central Government;S.1311;;;;;;;;
Actis;VASTRA FROLUN;SE;Public Non-Financial Corporation;S.11001;;;;;;;;;
Adam and Company plc;VETLANDA;SE;Public Financial Corporation;S.12201;;;;;;;;;
Administration of Radioactive Substances Advisory Committee;MÅLILLA;SE;Central Government;S.1311;;;;;;;;;
Adult Learning Inspectorate;Former Central Government;S.1311;;;;;;;;;;;
Adur District Council;Local Government;S.1313;;;;;;;;;;;
Advantage - West Midlands;Former Central Government;S.1311;1-Jul-12;Aug-12;;;;;;;;;
Adventure Activities Licensing Authority/TQS Ltd;Central Government;S.1311;;;;;;;;;;;
Advisory Board on Fair Trading in Telecommunications;Former Central Government;S.1311;;;;;;;;;;;
Advisory Board on Family Law;DUBLIN;IE;Former Central Government;S.1311;1-Aug-03;Oct-11;;;;;;;
Advisory Board on Restricted Patients;VETLANDA;SE;Former Central Government;S.1311;;;;;;;;;
Advisory Board on Sustainable Development;ULRICEHAMN;SE;Former Central Government;S.1311;;;;;;;;;
Advisory Board on the Registration of Homeopathic Products;GOTEBORG;SE;Central Government;S.1311;;;;;;;;;
Advisory Committee for Disabled People in Employment and Training;ASKIM;SE;Former Central Government;S.1311;1-Apr-02;Nov-11;;;;;;;
Advisory Committee for the Joint Environmental Markets Unit;VESTRA FROLUN;SE;Former Central Government;S.1311;;;;;;;;;
Advisory Committee for Wales;VASTRA FROLUN;SE;Central Government;S.1311;;;;;;;;;
Advisory Committee of the Therapeutic Professions Allied to Medicine;Stockholm;SE;Former Central Government;S.1311;;;;;;;;;
Advisory Committee on Advertising;Former Central Government;S.1311;1-Jan-08;Sep-12;;;;;;;;;
Advisory Committee on Animal Feedingstuffs;Central Government;S.1311;;;;;;;;;;;
Advisory Committee on Arbitration Law;Former Central Government;S.1311;;;;;;;;;;;
Advisory Committee on Borderline Substances;Central Government;S.1311;;;;;;;;;;;
Advisory Committee on Breast Cancer Screening;Former Central Government;S.1311;;;;;;;;;;;
Advisory Committee on Business and the Environment; APOTEK; KLÄDER;Former Central Government;S.1311;30-Sep-03;Apr-18;;;;;;;
Advisory Committee on Business Appointments;Central Government;S.1311;;;;;;;;;;;
Advisory Committee on Cleaner Coal Technology;GOTEBORG;SE;Former Central Government;S.1311;;;;;;;;;
Advisory Committee on Conscientious Objectors;VETLANDA;SE;Central Government;S.1311;;;;;;;;;
Advisory Committee on Consumer Products and the Environment;DUBLIN;IE;Former Central Government;S.1311;30-Sep-05;Aug-18;;;;;;;
Advisory Committee on Dangerous Pathogens;VETLANDA;SE;Central Government;S.1311;;;;;;;;;
Advisory Committee on Dental Establishments;VETLANDA;SE;Former Central Government;S.1311;;;;;;;;;
Advisory Committee on Design Quality in the NHS;VIRSERUM;SE;Former Central Government;S.1311;;;;;;;;;
Advisory Committee on Distinction Awards;LANDVETTER;SE;Central Government;S.1311;;;;;;;;;
Advisory Committee on Genetic Testing;OSKARSHAMN;SE;Former Central Government;S.1311;;;;;;;;;
Advisory Committee on Hazardous Substances;OSKARSHAMN;SE;Former Central Government;S.1311;1-Jul-12;Oct-12;;;;;;;
Advisory Committee on Historic Wreck Sites;OSKARSHAMN;SE;Former Central Government;S.1311;1-Mar-11;Feb-12;;;;;;;
Advisory Committee on Juvenile Court Lay Panel (Northern Ireland);VIRSERUM;SE;Former Central Government;S.1311;1-Apr-05;Oct-11;;;;;;;
Advisory Committee on Legal Education and Conduct;Former Central Government;S.1311;;;;;;;;;;;
Advisory Committee on Lifelong Learning Targets;ULRICEHAMN;SE;Former Central Government;S.1311;;;;;;;;;
Advisory Committee on National Health Service Drugs;ULRICEHAMN;SE;Central Government;S.1311;;;;;;;;;
Advisory Committee on Novel Foods and Processes;msbill.info;IE;Central Government;S.1311;;;;;;;;;
Advisory Committee on Overseas Economic and Social Research;Former Central Government;S.1311;1-Jan-01;Sep-12;;;;;;;;;
Advisory Committee on Packaging;Central Government;S.1311;;;;;;;;;;;
