;buyer;count;;
1;HERTZ 00113 GOTEBORG,GOTEBORG,SE;4404;;
2;BOKUS,STOCKHOLM,SE;3683;;
3;Överf ISK;2467;;
4;Överf ISK;2320;;
5;Panda -Gustav /Bengt;2310;;
6;JULKLAPP ROLF;2213;;
7;PRESENT GUNVOR;1797;;
8;BILHYRA;1684;;
9;BODA HUS;1670;;
10;MAT;1582;;
11;Rivjärn;1467;;
12;VÄSTTRAFIK AB,GOTEBORG,SE;1322;;
13;MCD ULRICEHAMN,ULRICEHAMN,SE;1314;;
14;CIRCLE K ULRICEHAMN,ULRICEHAMN,SE;1227;;
15;SHELL GÖTEBORG,,GÖTEBORG,SE;1125;;
16;MCDONALDS FROLU,VASTRA FROLUN,SE;1113;;
17;NARA DEJ VETLANDA,VETLANDA,SE;1101;;
18;PREEM,MÅLILLA,SE;1093;;
19;Bodil;1051;;
20;9025.19.457.76;1012;;
21;Avbetalning bil Fredrik;993;;
22;9023.78.887.28;963;;
23;Försenat Grattis och God Jul;939;;
24;HERTZ SWEDEN FRANCHISE,DUBLIN,IE;918;;
25;MAXI ICA STORMARKNAD V,VETLANDA,SE;910;;
26;MAXI ICA STORMARKNAD U,ULRICEHAMN,SE;883;;
27;VÄSTTRAFIK AB,GOTEBORG,SE;845;;
28;STORA COOP SISJÖN,ASKIM,SE;821;;
29;BAUHAUS SISJON,VESTRA FROLUN,SE;815;;
30;ICA KVANTUM FROLUNDA,VASTRA FROLUN,SE;809;;
31;Spotify P12ABBAE9D,Stockholm,SE;800;;
32;Mat;775;;
33;K*Bokus AB;766;;
34;IKANO BANK AB - PREEM;761;;
35;FREDRIK MOBERG;733;;
36;JULKLAPPAR BOKUS;708;;
37;MAT, APOTEK, KLÄDER;694;;
38;Pandaförsäljningen;684;;
39;TANKA SISJON,GOTEBORG,SE;684;;
40;QSTAR VETLANDA,VETLANDA,SE;684;;
41;HERTZ SWEDEN FRANCHISE,DUBLIN,IE; Customs;668;
42;BILTEMA SWEDEN VETLAND,VETLANDA,SE;663;;
43;MAXI ICA STORMARKNAD V,VETLANDA,SE;661;;
44;GULF VIRSERUM,VIRSERUM,SE;632;;
45;MCDONALD´S LAND,LANDVETTER,SE;610;;
46;MAXI ICA STORMARKNAD O,OSKARSHAMN,SE;602;;
47;APOTEK HJARTAT ICA MAX,OSKARSHAMN,SE;602;;
48;APOTEK HJARTAT ICA MAX,OSKARSHAMN,SE;598;;
49;ICA NARA KRYSSET  VIRS,VIRSERUM,SE; COMMUNITIES AGENCY;595;
50;Mar Oskarshamn;574;;
51;MCD ULRICEHAMN,ULRICEHAMN,SE;571;;
52;MCD ULRICEHAMN,ULRICEHAMN,SE;544;;
53;Microsoft*Microsoft 36,msbill.info,IE;533;;
54;K*Elgiganten;525;;
55;K*Coop.se;497;;
56;KJELL & CO 51,VASTRA FROLUN,SE;486;;
57;Julklappar Rolf;484;;
58;9023.78.898.13;478;;
59;AmazonMktplc*MS9LG7FO4,www.amazon.se,LU;471;;
60;GOD JUL;461;;
61;JULKLAPPAR AMAZON;454;;
62;MOBL BARNEN;451;;
63;MAT;448;;
64;WILLYS SISJÖN,ASKIM,SE; Coastguard Agency;445;
65;NETFLIX.COM,020790637,NL;445;;
66;HALLON.SE,Stockholm,SE;441;;
67;HALLON.SE,Stockholm,SE;440;;
68;ÅterbäringLF;432;;
69;Storytel Sweden AB,Stockholm,SE;426;;
70;PRESSBYRÅN 4150145,GÖTEBORG,SE;413;;
71;ELGIGANTEN AB,GÖTEBORG,SE;399;;
72;STORA COOP SISJÖN,ASKIM,SE;391;;
73;STORA COOP SISJÖN,ASKIM,SE;371;;
74;BAUHAUS SISJON,VESTRA FROLUN,SE;370;;
75;Överf ISK;369;;
76;Överf ISK;367;;
77;K*Coop.se;367;;
78;K*Coop.se;362;;
79;K*Tidningsku;355;;
80;MAXI ICA STORMARKNAD U,ULRICEHAMN,SE;354;;
81;MAT;354;;
82;9025.19.457.76;352;;
83;Avbetalning bil Fredrik;350;;
84;9023.78.887.28;349;;
85;MCDONALD´S LAND,LANDVETTER,SE; Wrekin Council;349;
86;ICA NARA KRYSSET  VIRS,VIRSERUM,SE;Q Construction;346;
87;CIRCLE K NESSJO,NESSJO,SE;342;;
88;ICA NARA KRYSSET  VIRS,VIRSERUM,SE;341;;
89;Storytel Sweden AB,Stockholm,SE;336;;
90;COOP KONSUM VIRSERUM,VIRSERUM,SE; Commonwealth Office;328;
91;MCD 97 - BORAS,BORAS,SE;327;;
92;MCD 97 - BORAS,BORAS,SE;326;;
93;Mat;321;;
94;DAHLS BAGERI,GOTEBORG,SE;321;;
95;BILTEMA SWEDEN SISJON,VESTRA FROLUN,SE;320;;
96;CIRCLE K NESSJO,NESSJO,SE;320;;
97;HÖÖKS HÄSTSPORT,BORÅS,SE;320;;
98;Mat Virserum;311;;
99;Spotify P123B44EC3,Stockholm,SE;308;;
100;Biltema;307;;
101;HERTZ SWEDEN FRANCHISE,DUBLIN,IE;306;;
102;Bil;304;;
103;PodMe,Stockholm,SE;297;;
104;HBO Nordic AB,Stockholm,SE;296;;
105;K*Coop.se;289;;
106;K*Tidningsku;284;;
107;PRESENT GUSTAF;284;;
108;HERTZ 00409 GOTEBORG,GOTEBORG,SE;282;;
109;MICROSOFT*MICROSOFT 36,MSBILL.INFO,IE;278;;
110;MCD ULRICEHAMN,ULRICEHAMN,SE;275;;
111;PREEM,ASKIM,SE;272;;
112;MAXI ICA STORMARKNAD U,ULRICEHAMN,SE;267;;
113;CIRCLE K NESSJO,NESSJO,SE;265;;
114;STORA COOP SISJÖN,ASKIM,SE;263;;
115;Fredrik Moberg;252;;
116;MCD ULRICEHAMN,ULRICEHAMN,SE;250;;
117;Bil;248;;
118;CIRCLE K ASKIM,ASKIM,SE;246;;
119;HARVEST BY MANNERSTROM,GOTEBORG,SE;244;;
120;HARVEST BY MANNERSTROM,GOTEBORG,SE;242;;
121;VÄSTTRAFIK AB,GOTEBORG,SE;239;;
122;HALLON.SE,Stockholm,SE;238;;
123;HALLON.SE,Stockholm,SE;235;;
124;NETFLIX.COM,020790637,NL;227;;
125;EKLANDA KROG,MOLNDAL,SE;226;;
126;BAUHAUS SISJON,VESTRA FROLUN,SE;226;;
127;BAUHAUS SISJON,VESTRA FROLUN,SE;226;;
128;MAT;225;;
129;VÄSTTRAFIK AB,GOTEBORG,SE;224;;
130;VÄSTTRAFIK AB,GOTEBORG,SE;222;;
131;HEYNOW.AI,Goteborg,SE;219;;
132;PRESSBYRÅN 4228100,GÖTEBORG,SE;217;;
133;7 ELEVEN 4317142,GÖTEBORG,SE;215;;
134;HARVEST BY MANNERSTROM,GOTEBORG,SE;215;;
