,buyer
1,4459
2,7401262980
3,90296610293
4,90296610293
5,90296610307
6,90296610315
7,90296610323
8,90296610331
9,832796936540654
10,832796936540829
11,1000 HSB Göteborg Ek. Förening/Medl
12,16232 - NETTO GOTEBORG
13,2977373834 COLLECTOR
14,7 ELEVEN
15,7 ELEVEN 4317142
16,7-ELEVEN 4324101
17,9023.78.886.63
18,9023.78.886.63 saxar o frisyr
19,9023.78.887.01
20,9023.78.887.28
21,9023.78.887.36
22,9023.78.898.13
23,9023.94.307.61
24,9024.12.656.91
25,9025.19.457.76
26,ACTIC SVERIGE A
27,AKADEMIBOKHANDE
28,AKADEMIBOKHANDE
29,AKAVIA
30,ALBATROSS GOLFK
31,AmazonMktplc*MS9LG7FO4
32,AmazonMktplc*MS9LG7FO4
33,APOTEK
34,APOTEK HJARTAT ICA MAX
35,APOTEK HJARTAT ICA MAX
36,APOTEKSHOP CENTRALEN
37,Årsavg Bankkort Privat
38,ASKIMS CAMPING
39,ASKIMSBADET
40,ÅterbäringLF
41,ÅterbäringLF
42,ÅTERBETALNIN
43,Avbetalning bil
44,Avbetalning bil
45,Bahnhof
46,barn mobil
47,BARN MOBIL
48,Bauhaus
49,BAUHAUS
50,BAUHAUS SISJON
51,BAUHAUS SISJON
52,BAUHAUS SISJON
53,BAUHAUS SISJON
54,BEERISTA
55,Bekräfta laddning av 072965418
56,Bensin
57,Bensin
58,BESIKTA
59,Besiktning
60,BESIKTNING
61,Beställning The Hive
62,Bil
63,Bil
64,Bilhyra
65,BILHYRA
66,BILLDALS RIDKLUBB
67,BILLDALS RIDKLUBB
68,Billogram / faktura
69,BILREP
70,Biltema
71,Biltema
72,BIOZONE SCIENTIFIC SCANDINAVIA AB
73,Blocketannons
74,BLOMSTERLANDET
75,Boda hus
76,BODA HUS
77,BODIL KARLSSON
78,Bodil Karlsson
79,BOKUS
80,BOUNCE HOVAAS AB
81,Boxer
82,BRODHUSET
83,BURGER KING VIA
84,BYGGMAX/1203
85,BYGGMAX/1204
86,BYGGMAX/1216
87,Cafe Ridning
88,CENTRALA STUDIESTÖDSNÄMNDEN
89,CIRCLE K
90,CLAS OHLSON
91,COLLECTOR BANK AB
92,COLORAMA
93,Compeed
94,Compeed
95,Compeed igen
96,Conpeed apotek
97,COOP
98,Corona test
99,CORONA TEST
100,Cykel g
101,Däckbyte
102,Däcklagning
103,DAHLS BAGERI
104,Disk Stråtjära
105,DJURENS VÄRLD
106,DUYTAN
107,EASYPARK
108,EASYPARK
109,ECO & FAIR
110,EGMONT PUBLISHING AB
111,EKHAGENS PIZZERIA
112,EKLANDA KROG
113,ELCYKEL GOTEBORG BUTIK N
114,ELGIGANTEN AB
115,ENERGIKUNDSERVICE SVERIGE
116,ENERGIKUNDSERVICE SVERIGE AB
117,ESPRESSO HOUSE 317
118,EVA'S PARLEY
119,Fam moberg
120,Fastighets AB Kalvringen Sisjön
121,FILMSTADEN AB
122,FKASSA
123,Fläktplatta
124,FLÄKTPLATTA
125,Flixbus
126,FLUGGER AB S027
127,Flyttsajer
128,Flyttsaker
129,FOLKSAM ÖMSESIDIG SAKFÖRSÄKRING
130,Fondsparande Lann Mix
131,FORDONSSKATT TRANSPORTSTYRELSEN
132,FORDONSSKATT TRANSPORTSTYRELSEN
133,Försenat Grattis och God Jul
134,FOTBOLL FREJ
135,FRÅN LÖNEKONTO
136,FREDRIK MOBERG
137,Freja borste
138,Freja hämtar bilnyckel
139,Gbg Stad/Intraservice
140,GOD JUL
141,GODISHUSET
142,Golv
143,Golv
144,GOOGLE*GOOGLE
145,GOTA MEDIA AB
146,GOTEBORGS GODISAFFAR
147,GP.SE
148,GRENNAS BISTRO AB
149,GULF
150,Gustafs kalaskonto
151,GYLLENE KORVEN
152,HAGABADET
153,Halebop
154,Hallon Freja
155,Hallon Gustaf
156,HALLON.SE
157,HARVEST BY MANNERSTROM
158,HBO Nordic AB
159,HEMGLASS GOTEBORG
160,HEMKÖP
161,HERTZ
162,HERTZ 00409 GOTEBORG
163,HERTZ SWEDEN FRANCHISE
164,HEYNOW.AI
165,HM SE0249
166,HÖGSBY PASTORAT
167,HÖÖKS HÄSTSPORT
168,Hovås Askim Familjeläkare & BVC AB
169,ICA
170,ICA KVANTUM FROLUNDA
171,ICA NARA KRYSSET VIRS
172,ICA NARA KRYSSET VIRS
173,idrottsrabatten Freja Moberg
174,IF SKADEFÖRSÄKRING AB (PU
175,IKANO BANK AB - PREEM
176,IKEA-KALLERED
177,INET
178,INGO ASKIM SISJON
179,Inteleon AB
180,INTERSPORT GOTE
181,iZ *Svanstrom Lin
182,Järnboden
183,JARVSOBACKEN
184,JOHN SCOTT'S
185,Jord och gödsel
186,Jord och gödsel
187,JULA AB
188,Juljlappp Rolf
189,Julklappar amazon
190,JULKLAPPAR AMAZON
191,Julklappar Bokus
192,JULKLAPPAR BOKUS
193,JULKLAPPAR ROLF
194,Julklappar Rolf
195,Jysk Vetlanda
196,K-RAUTA
197,K*Adlibris A
198,K*Apotea AB
199,K*Bokus AB
200,K*Coop.se
201,K*DECATHLON
202,K*DPJ Svensk
203,K*Elgiganten
204,K*Hall Media
205,K*Ian & Burt
206,K*Lensway BV
207,K*Matsmart I
208,K*Smartphoto
209,K*Tidningsku
210,KAPPAHL 142
211,KD APOTEK
212,KICKS V FROELUNDA
213,KJELL & CO 51
214,Kläder barn en
215,Kläder barnen
216,Kläder barnen
217,KLARNA BANK AB
218,KLARNA BANK AB
219,KRY.SE
220,Kylväska
221,Lajan
222,Lakan
223,LF Göteborg och Bohuslän E-faktura
224,LF LIV
225,LIDL
226,LIFE SISJON
227,Lindås Rasta Ibk
228,LINDEX/39
229,Lister
230,Lister
231,Listwr
232,Lisyer
233,LJUNGSTROMS KOK
234,LLOYDSAPOTEK
235,LLOYDSAPOTEK102
236,Lön
237,Löneinsättning
238,Mar Oskarshamn
239,MAT
240,MAT
241,Mat Virserum
242,Mat Virserum
243,MAXI
244,MAXI ICA STORMARKNAD O
245,MCD
246,MCD 97 - BORAS
247,MCD ULRICEHAMN
248,MCDONALD´S
249,MCDONALD´S LAND
250,MCDONALDS
251,MEDIA MARKT
252,MEKONOMENTORPAV
253,MICROSOFT*MICROSOFT 36
254,Microsoft*Office 365 Pers
255,Microsoft*Store
256,Mobik
257,Mobil barnen
258,Mobil gustaf
259,Mobilskal Gustaf
260,MOBL BARNEN
261,MR GATSBY PIZZERIA
262,MYCASE-PODRUZNICA ZAGR
263,MYSKJE MACKEN
264,NARA DEJ VETLANDA
265,Nat
266,NETFLIX
267,NETFLIX.COM
268,NETFLIX.COM
269,NETS*collagefoto.se
270,Nota Harvest by Mannerström
271,NRG PIZZA 225
272,NYA*Toalett
273,OKQ8
274,OKQ8
275,OKQ8
276,ONGO
277,Överf ISK
278,Överf ISK
279,Pandaförsäljningen
280,PARKERINGSBOLAGET
281,Parkeringstjänst Väst AB
282,Parkster / Billogram
283,PayEx Sverige AB/Hemfrid i Sverige
284,Paynova AB (publ)
285,Paynova AB (publ)
286,pjäxor
287,PLANTAGEN ASKIM
288,PodMe
289,Polismyndigheten
290,PRALINEHUSET H.R AB
291,PREEM
292,PREEM
293,Present Gunvor
294,Present Gustaf
295,PRESENT GUSTAF
296,Presenter
297,PRESSBYRÅN
298,PRESSBYRAN 4128810
299,PRESSBYRÅN 4150145
300,Qliro
301,QSTAR
302,QSTAR VETLANDA
303,RASTPUNKT LAXA
304,Regionservice Patientfakturor
305,Regnkläder
306,Regnkläder
307,REPAIRHOUSE AB
308,RESTAURANG GREENS
309,Ridklubb
310,Rivjärn
311,RUDDALENS GYM
312,RUSTA SISJON 46
313,Saco Folksam Försäkring AB
314,SANGUINE
315,SEGA GUBBEN
316,Sf anytime
317,shell
318,SK7512235974
319,SKATTEVERKET
320,Skolkatalog
321,Skolkatalog
322,Skolkläder och skolsaker
323,skridskor
324,SMARTREFILL
325,SMSPARK.SE
326,Snabböverföring
327,Solid Försäkrings AB
328,SOTA BAR SWEDEN AB
329,Sovsäck
330,Spade
331,Spade
332,SPORTSHOPEN SIS
