;buyer;count
0;HERTZA;4404
1;BOKUS,STOCKHOLM,SE;3683
2;Overf;2467
3;Rivjarn;2320
4;Panda -Gustav /Bengt;2310
5;JULKLAPP ROLF;2213
6;PRESENT GUNVOR;1797
7;BILHYRA;1684
8;BODA HUS;1670
9;MAT;1582
10;Rivjarn;1467
11;vasttrafik;1322
12;MCD ULRICEHAMN,ULRICEHAMN,SE;1314
13;CIRCLE K ULRICEHAMN,ULRICEHAMN,SE;1227
14;SHELL GaTEBORG,,GaTEBORG,SE;1125
15;MCDONALDS FROLU,VASTRA FROLUN,SE;1113
16;NARA DEJ VETLANDA,VETLANDA,SE;1101
17;PREEM,MaLILLA,SE;1093
18;Bodil;1051
19;OkQ8 I ulricehamn;1051
20;OK;1051
21;Zooplus AG;1051
