In/ut;Betalsätt;Konto;Typ;Huvudkategori;Kategori 2;Kategori 3;Kategori 4;Vad;Januari;Februari;Mars;April;Maj;Juni;Juli;Augusti;September;Oktober;November;December
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;HERTZ 00113 GOTEBORG,GOTEBORG,SE;;;;;;;;;;;;-420.0
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;BOKUS,STOCKHOLM,SE;;;;;;;;;;;;-39.0
Utgifter;empty;Lönekonto;Fasta;Spara;empty;empty;empty;Överf ISK;;;;;;;;;;;;-500.0
Utgifter;empty;Lönekonto;Fasta;Spara;empty;empty;empty;Överf ISK;;;;;;;;;;;;-500.0
Inkomster;empty;Lönekonto;Fasta;Mobil;empty;empty;empty;Panda -Gustav /Bengt;;;;;;;;;;;;260.0
Inkomster;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;JULKLAPP ROLF;;;;;;;;;;;;189.0
Inkomster;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;PRESENT GUNVOR;;;;;;;;;;;;350.0
Inkomster;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;BILHYRA;;;;;;;;;;;;2669.0
Inkomster;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;BODA HUS;;;;;;;;;;;;1000.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAT;;;;;;;;;;;;900.0
Inkomster;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Rivjärn;;;;;;;;;;;;119.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;VÄSTTRAFIK AB,GOTEBORG,SE;;;;;;;;;;;;-34.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MCD ULRICEHAMN,ULRICEHAMN,SE;;;;;;;;;;;;-80.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;CIRCLE K ULRICEHAMN,ULRICEHAMN,SE;;;;;;;;;;;;-334.96
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;SHELL GÖTEBORG,,GÖTEBORG,SE;;;;;;;;;;;;-117.81
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;MCDONALDS FROLU,VASTRA FROLUN,SE;;;;;;;;;;;;-84.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;NARA DEJ VETLANDA,VETLANDA,SE;;;;;;;;;;;;-350.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;PREEM,MÅLILLA,SE;;;;;;;;;;;;-351.28
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;Bodil;;;;;;;;;;;;-1300.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;9025.19.457.76;;;;;;;;;;;;-9000.0
Utgifter;empty;Lönekonto;Rörligt;Spara;empty;empty;empty;Avbetalning bil Fredrik;;;;;;;;;;;;-1000.0
Utgifter;empty;Lönekonto;Rörligt;Räkningar;empty;empty;empty;9023.78.887.28;;;;;;;;;;;;-15000.0
Inkomster;empty;Lönekonto;Rörligt;Presenter;empty;empty;empty;Försenat Grattis och God Jul;;;;;;;;;;;;500.0
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;HERTZ SWEDEN FRANCHISE,DUBLIN,IE;;;;;;;;;;;;-2668.99
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAXI ICA STORMARKNAD V,VETLANDA,SE;;;;;;;;;;;;-299.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;MAXI ICA STORMARKNAD U,ULRICEHAMN,SE;;;;;;;;;;;;-296.24
Utgifter;empty;Lönekonto;Rörligt;Transport;empty;empty;empty;VÄSTTRAFIK AB,GOTEBORG,SE;;;;;;;;;;;;-34.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;STORA COOP SISJÖN,ASKIM,SE;;;;;;;;;;;;-194.3
Inkomster;empty;Lönekonto;Fasta;Lön;empty;empty;empty;Löneinsättning;;;;;;;;;;;;35721.0
Utgifter;empty;Lönekonto;Rörligt;Boende;empty;empty;empty;BAUHAUS SISJON,VESTRA FROLUN,SE;;;;;;;;;;;;-129.0
Utgifter;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;ICA KVANTUM FROLUNDA,VASTRA FROLUN,SE;;;;;;;;;;;;-195.7
Utgifter;empty;Lönekonto;Rörligt;Övrigt;empty;empty;empty;Spotify P12ABBAE9D,Stockholm,SE;;;;;;;;;;;;-99.0
Inkomster;empty;Lönekonto;Rörligt;Mat;empty;empty;empty;Mat;;;;;;;;;;;;195.0
