value;TypeofPayment;fixedOrVariableCost;Category;Category_1;Category_2;Category_3;Comment
4459;Betalning;Rörligt;Övrigt;;;;
90296610293;Låneinbetalning;Fasta;Boende;;;;
90296610307;Låneinbetalning;Fasta;Boende;;;;
90296610315;Låneinbetalning;Fasta;Boende;;;;
90296610323;Låneinbetalning;Fasta;Boende;;;;
90296610331;Låneinbetalning;Fasta;Boende;;;;
90297468296;Låneinbetalning;Fasta;Boende;;;;
90620302712;Låneinbetalning;Fasta;Boende;;;;
832796936540654;Överföring;Fasta;Spara;;;;
832796936540829;Överföring;Fasta;Spara;;;;
1000 HSB Göteborg Ek. Förening;Betalning;Fasta;Boende;;;;
1000 HSB Göteborg Ek. Förening/Medl;Betalning;Fasta;Boende;;;;
16232 - NETTO GOTEBORG GOTEBOR;Kort;Rörligt;Mat;;;;
16232 - NETTO GOTEBORG,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
2977373834 COLLECTOR;Överföring;Rörligt;Övrigt;;;;
330 TEKNIKMAGASINET,VASTRA FROLUN,SE;Kort;Rörligt;Övrigt;;;;
4 GOTT STAMPEN,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
5037.20.012.46;Överföring;Rörligt;Övrigt;;;;
7 ELEVEN 4317142,GÖTEBORG,SE;Kort;Rörligt;Mat;;;;
7-ELEVEN 4015213 GOTEBORG;Kort;Rörligt;Mat;;;;
7-ELEVEN 4324101 GOTEBORG;Kort;Rörligt;Mat;;;;
7-ELEVEN 4324101,GOTEBORG,SE;Kort;Rörligt;Mat;;;;
9023.78.886.63;Överföring;Rörligt;Övrigt;;;;
9023.78.886.63 saxar o frisyr;Överföring;Rörligt;Övrigt;;;;
9023.78.887.01;Överföring;Rörligt;Övrigt;;;;
9023.78.887.28;Överföring;Rörligt;Övrigt;;;;
9023.78.887.36;Överföring;Rörligt;Övrigt;;;;
9023.78.898.13;Överföring;Rörligt;Övrigt;;;;
9023.94.307.61;Överföring;Rörligt;Övrigt;;;;
9024.12.656.91;Överföring;Rörligt;Övrigt;;;;
9025.16.069.12;Överföring;Rörligt;Övrigt;;;;
9025.19.457.76;Överföring;Rörligt;Övrigt;;;;
926126 BISTRO A MOLNDA,MOLNDAL,SE;Kort;Rörligt;Mat;;;;
A-RAMAR /DITT GALLERI,GOTEBORG,SE;Kort;Rörligt;Övrigt;;;;
ACTIC SVERIGE A,LERUM,SE;Kort;Rörligt;Fritid;;;;
AHLENS VA FROLUNDA;Kort;Rörligt;Kläder;;;;
AHLENS Vaestra Froelunda,Vaestra Froel,SE;Kort;Rörligt;Kläder;;;;
AKADEMIBOKHANDE,GOTEBORG,SE;Kort;Rörligt;Övrigt;;;;
AKADEMIBOKHANDE,VASTRA FROLU,SE;Kort;Rörligt;Övrigt;;;;
AKAVIA;Betalning;Fasta;Facket;;;;
ALBATROSS GOLFK,HISINGS BACK,SE;Kort;Rörligt;Mat;;;;
ALBERT,GOTEBORG,SE;Kort;Rörligt;Övrigt;;;;
AmazonMktplc*MS9LG7FO4,www.amazon.se,LU;Kort;Rörligt;Presenter;;;;
APCOA PARKING,STOCKHOLM,SE;Kort;Rörligt;Transport;;;;
Apotek;Överföring;Rörligt;Sjukvård;;;;
APOTEK HJARTAT AVENYN GO GOTE;Kort;Rörligt;Sjukvård;;;;
APOTEK HJARTAT E CENTER,SODERHAMN,SE;Kort;Rörligt;Sjukvård;;;;
APOTEK HJARTAT ICA MAX,OSKARSHAMN,SE;Kort;Rörligt;Sjukvård;;;;
APOTEK HJARTAT ICA MAX,VASTRA FROLUN,SE;Kort;Rörligt;Sjukvård;;;;
APOTEK HJARTAT ICA MAXI H VAST;Kort;Rörligt;Sjukvård;;;;
APOTEK HJARTAT ICA MAXI H,VASTRA FROLUN,SE;Kort;Rörligt;Sjukvård;;;;
APOTEK HJARTAT KUNGSGA,GOTEBORG,SE;Kort;Rörligt;Sjukvård;;;;
APOTEK HJARTAT LINN GATAN,GOTEBORG,SE;Kort;Rörligt;Sjukvård;;;;
APOTEKET BIET,GOTEBORG,SE;Kort;Rörligt;Sjukvård;;;;
APOTEKET KORSVAGEN,GOTEBORG,SE;Kort;Rörligt;Sjukvård;;;;
APOTEKET OSTRA HAMNNG,GOTEBORG,SE;Kort;Rörligt;Sjukvård;;;;
APOTEKET OSTRA SJUKHUS,GOTEBORG,SE;Kort;Rörligt;Sjukvård;;;;
APOTEKSHOP CENTRALEN,GOETEBORG,SE;Kort;Rörligt;Sjukvård;;;;
APPLE.COM/BILL,020100529,IE;Kort;Rörligt;Övrigt;;;;
ARENA OSKARSHAM OSKARSHAMN;Kort;Rörligt;Fritid;;;;
ARVATO FINANCE AB;Betalning;Rörligt;Övrigt;;;;
ASKIMS BIBLIOTE,ASKIM,SE;Kort;Rörligt;Övrigt;;;;
ASKIMS CAMPING,ASKIM,SE;Kort;Rörligt;Mat;;;;
ASKIMS ISHALL BILLDAL;Kort;Rörligt;Fritid;;;;
ASKIMS SIMOCH HOVAAS;Kort;Rörligt;Fritid;;;;
ASKIMS SIMOCH,HOVAAS,SE;Kort;Rörligt;Fritid;;;;
ASKIMSBADET,ASKIM,SE;Kort;Rörligt;Fritid;;;;
