value;TypeofPayment;fixedOrVariableCost;Category;Category_1;Category_2;Category_3;Comment
COLORAMA ASKIM,ASKIM,SE;Återbetalning;Rörligt;Boende;;;;
HOLMENS HERR GOTEBORG;Återbetalning;Rörligt;Kläder;;;;
IKEA-KALLERED,KALLERED,SE;Återbetalning;Rörligt;Boende;;;;
JARVSOBACKEN,JERVSO,SE;Återbetalning;Rörligt;Fritid;;;;
MEDIA MARKT,VASTRA FROLUN,SE;Återbetalning;Rörligt;Övrigt;;;;
MIO MOLNDAL,MOLNDAL,SE;Återbetalning;Rörligt;Boende;;;;
SV INGENJ;Autogiro;Fasta;Facket;;;;
1000 HSB Göteborg Ek. Förening;Betalning;Fasta;Boende;;;;
1000 HSB Göteborg Ek. Förening/Medl;Betalning;Fasta;Boende;;;;
AKAVIA;Betalning;Fasta;Facket;;;;
Bahnhof;Betalning;Fasta;Boende;;;;
Boxer;Betalning;Fasta;Boende;;;;
CENTRALA STUDIESTÖDSNÄMNDEN;Betalning;Fasta;Lån;;;;
FORDONSSKATT TRANSPORTSTYRELSEN;Betalning;Fasta;Transport;;;;
FÖRSÄKRINGS AB SKANDIA;Betalning;Fasta;Försäkring;;;;
Gbg Stad/Intraservice;Betalning;Fasta;Övrigt;;;;
GODEL I SVERIGE AB;Betalning;Fasta;Boende;;;;
Göteborgs Stad;Betalning;Fasta;Boende;;;;
HAGABADET;Betalning;Fasta;Fritid;;;;
Halebop;Betalning;Fasta;Mobil;;;;
IF SKADEFÖRSÄKRING AB (PU;Betalning;Fasta;Försäkring;;;;
LF Göteborg och Bohuslän E-fak;Betalning;Fasta;Försäkring;;;;
LF Göteborg och Bohuslän E-faktura;Betalning;Fasta;Försäkring;;;;
LF LIV;Betalning;Fasta;Försäkring;;;;
LÄNSFÖRSÄKRINGAR LIV;Betalning;Fasta;Försäkring;;;;
LÄNSFÖRSÄKRINGAR ÄLVSBORG;Betalning;Fasta;Försäkring;;;;
Solid Försäkrings AB;Betalning;Fasta;Försäkring;;;;
SULF Sveriges Univ.lärare och;Betalning;Fasta;Facket;;;;
SULF Sveriges Univ.lärare och forsk;Betalning;Fasta;Facket;;;;
SVERIGES INGENJÖRER;Betalning;Fasta;Facket;;;;
Trygg-Hansa Försäkring filial;Betalning;Fasta;Boende;;;;
TRÄNGSELSKATT TRANSPORTSTYRELS;Betalning;Fasta;Transport;;;;
TRÄNGSELSKATT TRANSPORTSTYRELSEN;Betalning;Fasta;Transport;;;;
VATTENFALL KUNDSERVICE AB;Betalning;Fasta;Boende;;;;
VOLVOFINANS BANK AB;Betalning;Fasta;Transport;;;;
Årsavg. Bankkort 4459;Betalning;Fasta;Övrigt;;;;
4459;Betalning;Rörligt;Övrigt;;;;
